Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,time_seconds,filtered_accel_x,filtered_accel_y,filtered_accel_z,Vel_X,Vel_Y,Vel_Z,Displacement_X,Displacement_Y,Displacement_Z,Acc_Global_X,Acc_Global_Y,Acc_Global_Z,Dy_dt,Dz_dt,Dx_dt,Vel_X_Roll_Mean,Vel_Y_Roll_Mean,Vel_Z_Roll_Mean,Acc_Global_X_Roll_Std,Acc_Global_Y_Roll_Std,Acc_Global_Z_Roll_Std,Vel_X_Roll_Std,Vel_Y_Roll_Std,Vel_Z_Roll_Std,Acc_Global_X_Roll_Sum,Acc_Global_Y_Roll_Sum,Acc_Global_Z_Roll_Sum,Vel_X_Roll_Sum,Vel_Y_Roll_Sum,Vel_Z_Roll_Sum,Acc_Global_X_Roll_Max,Acc_Global_Y_Roll_Max,Acc_Global_Z_Roll_Max,Vel_X_Roll_Max,Vel_Y_Roll_Max,Vel_Z_Roll_Max,Vel_X_Roll_Min,Vel_Y_Roll_Min,Vel_Z_Roll_Min,Displacement_X_Roll_Mean,Displacement_Y_Roll_Mean,Displacement_Z_Roll_Mean,Displacement_X_Roll_Std,Displacement_Y_Roll_Std,Displacement_Z_Roll_Std,Displacement_X_Roll_Sum,Displacement_Y_Roll_Sum,Displacement_Z_Roll_Sum,Displacement_X_Roll_Max,Displacement_Y_Roll_Max,Displacement_Z_Roll_Max,Displacement_X_Roll_Min,Displacement_Y_Roll_Min,Displacement_Z_Roll_Min
-135.01918029785156,12.959189414978027,20.900089263916016,-2.840319395065308,-7.6686859130859375,-7.08587646484375,-4.64971399307251,1.816049575805664,-3.716484785079956,0.0,-2.816357802537845,-7.603991101865161,-7.026098369167077,0.0,0.0,0.0,0.0,0.0,0.0,-0.5484024924864958,0.23545635027645578,20.61414819353763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-135.05641174316406,12.927301406860352,20.914630889892575,-2.7430577278137207,-7.47901439666748,-7.140081405639648,-3.212127685546875,0.4693681001663208,-4.510615348815918,0.008333333333333333,-2.6721962718840624,-7.287077622434601,-6.960795766962461,-0.02226830226570052,-0.060725646853621675,-0.05800663139135384,-0.00018556918554750435,-0.0005060470571135139,-0.00048338859492794866,-0.4263942929755731,0.10451269368292031,20.49868792353,22.76058197021495,-6.5045928955078125,11.671400070190483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-135.09945678710938,12.902173042297363,20.93375396728516,-2.664557456970215,-7.333792209625244,-7.21802282333374,-3.85615873336792,-0.4375807642936706,-4.419210910797119,0.016666666666666666,-2.548676498681542,-7.018517395751425,-6.919127912119002,-0.0435072730880467,-0.11921329181821688,-0.11566603065901218,-0.0005481297946145602,-0.0014994911555986546,-0.0014472721837530502,-0.31560900406846343,-0.01396248567288782,20.434708188894742,17.426662445068253,-9.352970123291016,9.420032501220703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-135.14791870117188,12.881481170654297,20.95125389099121,-2.608072280883789,-7.456634521484375,-7.281828880310059,-4.63800859451294,-0.7224367260932922,-3.8057503700256343,0.025,-2.448693547189453,-7.019259584910909,-6.863146093241643,-0.06391305264795881,-0.17770712169247446,-0.17285891476935922,-0.0010807385666808836,-0.002980383836369275,-0.0028877631401643773,-0.25848871774111437,0.062194354424990224,20.550474230521797,-14.741077423095703,-7.656726837158203,6.778221130371094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-135.19065856933594,12.862629890441896,20.962810516357425,-2.5752410888671875,-7.543605327606201,-7.344702243804932,-3.617421865463257,-0.340592473745346,-3.261896133422852,0.03333333333333333,-2.3734893815782825,-6.9834022412003405,-6.806184871956571,-0.08369213082777782,-0.23590214036914398,-0.22957712203566397,-0.0017781729902456988,-0.004946235006112141,-0.00480090582379491,-0.21892535472619346,0.10425392218939986,20.646221752225166,-10.43649673461914,-7.544803619384766,3.9397430419921875,-0.04267615176589677,-0.11870964014669139,-0.11522173977107783,0.10708617671589524,0.1227147204416711,0.10437859348180605,0.033059573163078795,0.09309828240105791,0.0907593145795967,-13.43124794960022,-37.48173236846924,-36.07051181793213,-0.21338075882948385,-0.5935482007334569,-0.5761086988553892,-2.5752410888671875,-7.333792209625244,-7.08587646484375,0.0,0.0,0.0,-0.08369213082777782,-0.23590214036914398,-0.22957712203566397,-0.0007185221074177293,-0.001986431411038717,-0.0019238659485280572,0.0007217006188302165,0.0020076688685952363,0.0019499892980913282,-0.0035926105370886465,-0.009932157055193585,-0.009619329742640285,0.0,0.0,0.0,-0.0017781729902456988,-0.004946235006112141,-0.00480090582379491
-135.23135375976562,12.841952323913574,20.96796417236328,-2.551433563232422,-7.50004768371582,-7.343990802764893,-3.3773393630981445,0.2976246178150177,-2.7799642086029053,0.041666666666666664,-2.3081496755265123,-6.81770170367651,-6.686140087052487,-0.10292671145716542,-0.2927163212331149,-0.28529495609443467,-0.0026358955857220773,-0.007385537683054766,-0.007178363791248532,-0.19919814457491353,0.08722450693490937,20.61034450289819,5.226917266845703,0.0853729248046875,2.856903076171875,-0.06326149405732986,-0.17725290439331437,-0.17228073098996477,0.07683854566897737,0.07883631231377336,0.08758436838945342,0.03186626718878363,0.0918135858680705,0.08988773544252998,-13.142362117767334,-37.31309413909912,-36.32862615585327,-0.3163074702866493,-0.8862645219665719,-0.8614036549498238,-2.551433563232422,-7.333792209625244,-7.140081405639648,-0.02226830226570052,-0.060725646853621675,-0.05800663139135384,-0.10292671145716542,-0.2927163212331149,-0.28529495609443467,-0.0012457012245621448,-0.00346353894764967,-0.0033595387067777635,0.000981563174427752,0.0027576322523091834,0.0026838656401741504,-0.006228506122810724,-0.01731769473824835,-0.016797693533888818,-0.00018556918554750435,-0.0005060470571135139,-0.00048338859492794866,-0.0026358955857220773,-0.007385537683054766,-0.007178363791248532
-135.2768096923828,12.817011833190918,20.96272850036621,-2.496457815170288,-7.645248889923096,-7.398775100708008,-3.494678497314453,1.5689616203308103,-2.378307580947876,0.05,-2.2126633973904277,-6.840951580429072,-6.622159552118562,-0.12136557310208565,-0.34972425107002386,-0.340479619028756,-0.003647275361572791,-0.01029990644197163,-0.010015693949821498,-0.1504147986006202,0.18404321228370762,20.73554386229931,-17.424144744873047,-6.574115753173828,6.597089767456055,-0.08308094822460688,-0.23505262523659481,-0.2287753285174452,0.06275430242838625,0.11447576175041985,0.06930998784615161,0.030795390682364056,0.09108054570922967,0.08887254677542109,-12.895762205123901,-37.479328632354736,-36.58731985092163,-0.4154047411230344,-1.175263126182974,-1.143876642587226,-2.496457815170288,-7.333792209625244,-7.21802282333374,-0.0435072730880467,-0.11921329181821688,-0.11566603065901218,-0.12136557310208565,-0.34972425107002386,-0.340479619028756,-0.0019380424597672022,-0.005422310824621293,-0.005265999777756473,0.0012349961059814631,0.0035079683743109553,0.003415835665538085,-0.009690212298836012,-0.027111554123106466,-0.026329998888782367,-0.0005481297946145602,-0.0014994911555986546,-0.0014472721837530502,-0.003647275361572791,-0.01029990644197163,-0.010015693949821498
-135.3091583251953,12.7826566696167,20.94983291625977,-2.3694217205047607,-7.593695163726807,-7.50862455368042,-1.897015929222107,2.953718423843384,-2.431046962738037,0.058333333333333334,-2.047001769980433,-6.667707258399718,-6.612878411543343,-0.13842392118525593,-0.40528847822335484,-0.3955869391249505,-0.00480080803811659,-0.013677310427166254,-0.013312251775862753,0.006404081029140826,0.12856327551126587,20.74806375412377,6.1864471435546875,-13.181934356689453,15.244331359863281,-0.10206427784404873,-0.2922676625176224,-0.2847595102106329,0.09357396497757652,0.07451789203653611,0.08511676027734655,0.029531166689723665,0.08996715407126793,0.08796956214163036,-12.600626468658447,-37.7392315864563,-36.87792158126831,-0.5103213892202436,-1.4613383125881119,-1.4237975510531644,-2.3694217205047607,-7.456634521484375,-7.281828880310059,-0.06391305264795881,-0.17770712169247446,-0.17285891476935922,-0.13842392118525593,-0.40528847822335484,-0.3955869391249505,-0.0027885781084676085,-0.007857874678934814,-0.0076389956961784135,0.0014787982129449567,0.004252058804297552,0.004143539423350472,-0.013942890542338042,-0.03928937339467407,-0.03819497848089207,-0.0010807385666808836,-0.002980383836369275,-0.0028877631401643773,-0.00480080803811659,-0.013677310427166254,-0.013312251775862753
-135.33929443359375,12.745298385620115,20.933897018432617,-2.3306188583374023,-7.526242256164551,-7.440802097320557,-1.3766756057739258,3.510226249694824,-2.532825231552124,0.06666666666666667,-1.971307086124285,-6.480619609808848,-6.426600277152243,-0.15485148023629164,-0.45929364163842856,-0.44914194143455255,-0.006091237040085687,-0.017504757440819824,-0.017055101287817356,0.013506523807369688,0.1369516037250903,20.646175729696182,8.094348907470703,8.138694763183594,4.656343460083008,-0.12025196336171531,-0.3485849665068132,-0.3400161155436715,0.10932324073210105,0.05785706817594542,0.06962081580501978,0.028130821416260388,0.08844733148997766,0.08687340462402719,-12.32317304611206,-37.808839321136475,-37.03689479827881,-0.6012598168085765,-1.742924832534066,-1.7000805777183576,-2.3306188583374023,-7.50004768371582,-7.343990802764893,-0.08369213082777782,-0.23590214036914398,-0.22957712203566397,-0.15485148023629164,-0.45929364163842856,-0.44914194143455255,-0.003790677803148569,-0.010762749399824922,-0.010472463325709011,0.001711519627855959,0.004985001521632887,0.004863687271119928,-0.018953389015742846,-0.05381374699912461,-0.052362316628545055,-0.0017781729902456988,-0.004946235006112141,-0.00480090582379491,-0.006091237040085687,-0.017504757440819824,-0.017055101287817356
-135.3650665283203,12.704873085021973,20.917341232299805,-2.297682523727417,-7.630072593688965,-7.477298259735107,-1.0103663206100464,3.774924039840698,-2.634411334991455,0.075,-1.9024051743226882,-6.465546126554309,-6.345932041588986,-0.17070485668898072,-0.5131731926930478,-0.5020247084477941,-0.007513777512493859,-0.021781200713261888,-0.021238640524882307,0.03780351623719492,0.20296261827070136,20.735416198003097,-12.459640502929688,-4.379539489746094,3.952360153198242,-0.13765450853395586,-0.404039176971594,-0.3945056328260976,0.10958756538940004,0.0636987088982537,0.06486954042355854,0.02673949631181203,0.08704559062955153,0.08572110175335004,-12.04561448097229,-37.89530658721924,-37.169490814208984,-0.6882725426697793,-2.02019588485797,-1.972528164130488,-2.297682523727417,-7.50004768371582,-7.343990802764893,-0.10292671145716542,-0.2927163212331149,-0.28529495609443467,-0.17070485668898072,-0.5131731926930478,-0.5020247084477941,-0.004937798707598201,-0.014129742541254871,-0.013760010265926489,0.0019332008252369863,0.00570727991833369,0.00557507843108127,-0.024688993537991005,-0.07064871270627436,-0.06880005132963245,-0.0026358955857220773,-0.007385537683054766,-0.007178363791248532,-0.007513777512493859,-0.021781200713261888,-0.021238640524882307
